Ort;Name;Stadt/Landkreis;Bundesland
A;Augsburg;Stadt Augsburg, Landkreis Augsburg;Bayern
AA;AAlen;Ostalbkreis;Baden-Württemberg
AB;AschaffenBurg;Stadt Aschaffenburg, Landkreis Aschaffenburg;Bayern
ABG;AltenBurG;Landkreis Altenburger Land;Thüringen
ABI;Anhalt, BItterfeld;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
AC;AaChen;Städteregion Aachen;Nordrhein-Westfalen
AE;AuErbach;Vogtlandkreis;Sachsen
AH;AHaus;Kreis Borken;Nordrhein-Westfalen
AIB;AIBling;Landkreis München, Landkreis Rosenheim;Bayern
AIC;AIChach;Landkreis Aichach-Friedberg;Bayern
AK;AltenKirchen;Landkreis Altenkirchen (Westerwald);Rheinland-Pfalz
ALF;ALFeld;Landkreis Hildesheim;Niedersachsen
ALZ;ALZenau;Landkreis Aschaffenburg;Bayern
AM;AMberg;Stadt Amberg;Bayern
AN;ANsbach;Stadt Ansbach, Landkreis Ansbach;Bayern
ANA;ANnAberg;Erzgebirgskreis;Sachsen
ANG;ANGermünde;Landkreis Uckermark;Brandenburg
ANK;ANKlam;Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald;Mecklenburg-Vorpommern
AÖ;AltÖtting;Landkreis Altötting;Bayern
AP;APolda;Landkreis Weimarer Land;Thüringen
APD;APolDa;Landkreis Weimarer Land;Thüringen
ARN;ARNstadt;Ilm-Kreis;Thüringen
ART;ARTern;Kyffhäuserkreis;Thüringen
AS;Amberg, Sulzbach;Landkreis Amberg-Sulzbach;Bayern
ASL;ASchersLeben;Salzlandkreis;Sachsen-Anhalt
ASZ;Aue, SchwarZenberg;Erzgebirgskreis;Sachsen
AT;AltenTreptow;Landkreis Mecklenburgische Seenplatte ohne die Stadt Neubrandenburg;Mecklenburg-Vorpommern
AU;AUe;Erzgebirgskreis;Sachsen
AUR;AURich;Landkreis Aurich;Niedersachsen
AW;AhrWeiler;Landkreis Ahrweiler;Rheinland-Pfalz
AZ;AlZey;Landkreis Alzey-Worms;Rheinland-Pfalz
AZE;Anhalt-ZErbst;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
B;Berlin;Berlin;Berlin
BA;BAmberg;Stadt Bamberg, Landkreis Bamberg;Bayern
BAD;BADen-Baden;Stadt Baden-Baden;Baden-Württemberg
BAR;BARnim;Landkreis Barnim;Brandenburg
BB;BöBlingen;Landkreis Böblingen;Baden-Württemberg
